domain
googlesyndication.com
googlevideo.com
amazonaws.com
akamaiedge.net
microsoft.com
apple.com
avcdn.net
fastly.net
google.com
gstatic.com
akadns.net
openx.net
kaspersky.com
avast.com
imrworldwide.com
doubleverify.com
akamai.net
kaspersky-labs.com
casalemedia.com
yahoo.com
doubleclick.net
parsely.com
cloudflare.net
2mdn.net
criteo.com
akamaihd.net
dotomi.com
demdex.net
omtrdc.net
footprintdns.com
yahoodns.net
cisco.com
hwcdn.net
